iter	Passed	Remaining
0	7659	375316
1	13450	322817
2	19025	298069
3	24026	276303
4	29211	262902
5	34897	255916
6	39387	241953
7	43949	230732
8	48420	220580
9	52721	210886
10	57061	202310
11	61730	195479
12	66333	188795
13	70587	181511
14	75204	175476
15	79723	169413
16	83870	162806
17	88250	156889
18	92456	150850
19	96583	144875
20	101175	139718
21	105357	134091
22	109257	128258
23	113557	123021
24	117898	117898
25	122476	113055
26	126796	108011
27	131309	103171
28	135926	98429
29	140249	93499
30	144700	88687
31	149318	83991
32	153560	79106
33	157859	74286
34	162433	69614
35	166469	64738
36	170625	59949
37	175013	55267
38	179443	50612
39	183687	45921
40	187711	41204
41	191822	36537
42	196012	31908
43	200217	27302
44	204559	22728
45	209201	18191
46	213990	13658
47	218353	9098
48	222543	4541
49	226776	0
